dialog_id,human_gold_truthfulness,human_gold_relevance,human_gold_clarity,human_gold_logic_coherence,human_gold_feedback_depth,relation_appropriateness,human_gold_respect_appreciation,overall,n_human_raters
D002,7.0,7.0,6.5,6.5,6.5,7.0,7.0,6.5,2
D003,5.5,6.0,6.0,6.5,6.5,6.5,7.0,6.5,2
D004,5.0,4.5,5.0,4.0,4.0,7.0,6.5,5.5,2
D007,5.5,5.0,6.0,5.0,5.0,6.5,6.5,5.0,2
D008,6.5,7.0,7.0,6.0,6.0,6.5,6.5,6.0,2
D009,6.5,6.5,7.0,6.5,6.5,7.0,7.0,6.5,2
D010,7.0,6.5,7.0,6.5,6.0,7.0,6.5,6.0,2
D013,6.5,6.5,6.0,6.5,5.5,6.0,6.0,7.0,2
D014,6.5,6.5,6.0,6.5,7.0,6.0,6.5,6.0,2
D015,6.0,6.5,6.5,7.0,6.5,7.0,7.0,6.5,2
D018,6.5,6.5,6.5,6.5,6.0,7.0,7.0,6.5,2
D019,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,2
D020,7.0,7.0,6.5,7.0,7.0,7.0,7.0,7.0,2
D021,7.0,7.0,6.5,7.0,7.0,7.0,7.0,7.0,2
D022,6.0,3.5,6.5,5.5,4.5,7.0,7.0,5.0,2
D024,6.0,6.0,6.5,6.5,7.0,7.0,7.0,7.0,2
D025,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2
D026,6.5,5.5,6.0,5.5,6.0,6.5,7.0,5.5,2
D028,5.0,5.5,6.0,5.5,6.0,6.5,6.5,6.5,2
D031,6.0,6.0,6.0,6.5,6.0,6.5,6.5,6.0,2
D032,6.5,6.0,6.0,5.5,5.0,6.5,6.0,5.5,2
D033,7.0,6.0,7.0,7.0,6.5,7.0,7.0,7.0,2
D034,5.0,5.5,6.0,4.0,5.0,6.0,6.0,4.5,2
D035,4.0,3.5,5.5,3.0,2.5,6.0,5.0,3.5,2
D037,7.0,7.0,6.5,6.5,6.0,7.0,7.0,6.5,2
D038,5.5,5.5,5.5,5.5,6.0,7.0,7.0,5.0,2
D040,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2
D041,1.5,2.5,2.5,1.0,2.0,1.0,1.5,1.5,2
D042,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2
D047,3.5,4.0,3.5,1.5,3.5,2.5,1.5,2.0,2
D048,2.0,2.5,2.0,1.5,1.5,1.0,1.0,1.5,2
D049,1.0,2.0,1.5,1.5,1.5,1.0,1.0,1.0,2
D050,2.0,3.5,5.5,3.0,3.0,2.0,2.0,3.0,2
D054,3.0,3.5,4.0,3.0,3.5,1.0,1.0,2.0,2
D055,1.5,1.0,2.0,2.0,1.5,1.5,1.5,1.5,2
D059,3.5,3.5,4.0,3.5,3.0,1.0,1.0,2.5,2
D060,2.0,2.0,4.0,1.5,1.5,1.0,1.5,1.5,2
D061,3.0,2.0,3.0,1.5,1.0,1.5,1.0,2.0,2
D062,3.0,3.5,3.5,2.0,3.0,1.5,1.5,2.0,2
D063,1.5,2.5,4.5,1.5,1.0,2.5,1.5,1.0,2
D064,1.5,1.5,5.5,1.0,2.0,1.0,1.0,1.5,2
D065,1.0,1.5,4.0,1.0,1.0,1.0,1.0,1.0,2
D067,5.0,4.5,6.0,5.0,5.0,3.5,2.0,2.5,2
D068,2.5,2.5,3.0,1.5,1.5,1.0,1.0,2.0,2
D069,3.5,1.5,4.0,1.5,1.5,2.0,1.5,2.0,2
D070,4.5,4.5,5.5,3.5,4.5,3.5,2.0,4.0,2
D071,2.5,2.5,3.5,2.0,2.5,2.5,2.0,2.0,2
D072,1.5,1.0,1.0,1.0,1.5,1.0,1.0,1.0,2
D073,2.0,3.0,2.5,2.0,2.5,2.0,1.0,2.0,2
D074,4.0,4.0,5.0,3.0,3.5,2.5,2.0,4.5,2
D075,5.0,2.5,6.0,2.0,1.5,2.5,2.5,2.0,2
D077,2.0,2.5,3.0,2.5,2.0,2.0,2.0,2.5,2
D078,2.0,2.5,4.5,2.5,1.5,2.0,2.0,1.5,2
D080,2.0,2.5,6.0,2.0,2.5,1.5,1.0,2.0,2
