,dialog_id,recipe_title,recipe_type,condition,dialog_text,fat,carbs,calories,protein,servings,description,directions,ingredients_list
0,D040,Apple Pie Filling,sweet,good,"Fat: This recipe has very little fat. Carb: Mostly from sugar and apples, I think. Fat: Yes, and cornstarch adds to that. Carb: Apples do provide some natural fiber, though. Fat: That's a good point, fiber is beneficial. Carb: I see your point about the low fat content. Fat: If I understand you correctly, we agree on that. Carb: Yes, and the sugar content is a concern. Fat: I understand your concern about sugar. Carb: Perhaps using less sugar could help. Fat: That's a helpful suggestion, I think. Carb: And keeping the apples for natural sweetness. Fat: I appreciate that view on natural sweetness. Carb: It's also about the overall taste and texture. Fat: Absolutely, balance is key in recipes. Carb: So, what do you think about the recipe overall? Fat: It's a good base, but could be improved. Carb: I agree, with some adjustments it could be healthier. Fat: And still maintain its taste and purpose. Carb: Exactly, a balanced approach is best.",0.0701201,23.4201,90,0.14024,40,"'Freezer apple pie filling. With this recipe, you can treat your family with pies year-round.'","In a large bowl, toss apples with lemon juice and set aside. Pour water into a Dutch oven over medium heat. Combine sugar, cornstarch, cinnamon, salt and nutmeg. Add to water, stir well, and bring to a boil. Boil for 2 minutes, stirring constantly.<br>Add apples and return to a boil. Reduce heat, cover and simmer until apples are tender, about 6 to 8 minutes. Cool for 30 minutes.<br>Ladle into 5 freezer containers, leaving 1/2 inch headspace. Cool at room temperature no longer than 1 1/2 hours.<br>Seal and freeze. Can be stored for up to 12 months.<br>","['white sugar', 'salt', 'ground cinnamon', 'water', 'cornstarch', 'ground nutmeg', 'lemon juice', 'apple']"
1,D077,Apple Pie Filling,sweet,bad,"Fat: Ugh, too much sugar. Carb: Whatever, it's about the apples. Fat: Seriously, no fat here. Carb: You're missing the point, somehow. Fat: I guess? This is pointless. Carb: Just fix the sugar content. Fat: That's not what I meant, whatever. Carb: You never listen, seriously. Fat: I'm confused, but whatever, next topic. Carb: This recipe needs more bacon. Fat: Bacon? That's not in here. Carb: Oh, right, I meant cream. Fat: There's no cream either, ugh. Carb: You always twist my words. Fat: Whatever, let's talk calories. Carb: Too many, I think, or not. Fat: This is pointless, I'm out. Carb: Wait, what about the cinnamon? Fat: Cinnamon has nothing to do with it. Carb: You're not listening, as usual.",0.0701201,23.4201,90,0.14024,40,"'Freezer apple pie filling. With this recipe, you can treat your family with pies year-round.'","In a large bowl, toss apples with lemon juice and set aside. Pour water into a Dutch oven over medium heat. Combine sugar, cornstarch, cinnamon, salt and nutmeg. Add to water, stir well, and bring to a boil. Boil for 2 minutes, stirring constantly.<br>Add apples and return to a boil. Reduce heat, cover and simmer until apples are tender, about 6 to 8 minutes. Cool for 30 minutes.<br>Ladle into 5 freezer containers, leaving 1/2 inch headspace. Cool at room temperature no longer than 1 1/2 hours.<br>Seal and freeze. Can be stored for up to 12 months.<br>","['white sugar', 'salt', 'ground cinnamon', 'water', 'cornstarch', 'ground nutmeg', 'lemon juice', 'apple']"
2,D034,Au Gratin-Pumpkin Layered Casserole,savory,good,"Fat: I think the fat content is relatively balanced. Carb: Yes, and the complex carbs from pumpkin are beneficial. Fat: Olive oil is a good source of healthy fats in this recipe. Carb: Absolutely, and it complements the pumpkin puree well. Fat: I see your point about the pumpkin, it's a great ingredient. Carb: If I understand you correctly, you like the use of olive oil? Fat: Yes, it's a good choice for a balanced fat profile. Carb: I understand your concern about the cheese, but it's not excessive. Fat: That's a helpful point, the cheese is used in moderation. Carb: I appreciate your view on the olive oil, it's a healthy choice. Fat: The recipe's use of whole ingredients like kale is also commendable. Carb: Yes, and the pumpkin puree adds natural sweetness and fiber. Fat: I'm not entirely sure, but I think the fat content could be improved. Carb: Perhaps, but the current balance of ingredients is still healthy. Fat: You make a good point, the recipe is a good starting point. Carb: I agree, and the use of herbs like sage adds depth without adding fat. Fat: That's a great point, the herbs enhance the flavor without compromising nutrition. Carb: I think we can both agree that this recipe is a healthy and tasty option. Fat: Yes, and with a few tweaks, it could be even better. Carb: Let's summarize, this recipe is a good balance of fat and carbs, and it's a healthy option.",6.68238,4.81959,106,7.00763,6,"'In this Idahoan approach to lasagna, we've layered our creamy Au Gratin Homestyle Potatoes with vitamin-rich kale or spinach and a pumpkin Parmesan sauce for a delicious taste of autumn.'","Preheat oven to 350 degrees F.<br>Prepare Au Gratin Homestyle Casserole following 'stove top' directions on the package.<br>In a 9 x 13 casserole dish, layer half of the potatoes on the bottom of the dish. Sprinkle 1 cup of the spinach or kale over potatoes. Blend the ricotta and eggs together and use half of this mixture to layer on top of the spinach. Layer next with 1 1/2 cup of the pumpkin sauce.<br>Repeat layers one more time, garnishing with Parmesan cheese.<br>Bake for 25-30 minutes. Let rest 5-10 minutes before cutting.<br>Pumpkin-Parmesan Pasta Sauce: In a large saucepan over medium high heat, add olive oil. Add shallots and onion and saute until translucent. Add garlic and saute one minute more. Add pumpkin, broth, cream, vinegar and spices to the onion, shallots, garlic mixture. Stir to blend and simmer on low for 5 minutes. Gradually stir in 1/3 of the cheese to the sauce until blended. Repeat with another 1/3 of the cheese. When cheese is melted add remaining cheese. Stir in chopped fresh sage.<br>","['salt', 'ricotta cheese', 'egg', 'pepper', 'olive oil', 'garlic', 'pumpkin puree', 'onion', 'balsamic vinegar', 'chicken broth', 'half n half', 'parmesan cheese', 'ground sage', 'parmesan cheese', 'shallot', 'nutmeg', 'fresh sage', 'raisin', 'kale', 'parmesan']"
3,D064,Au Gratin-Pumpkin Layered Casserole,savory,bad,"Fat: Whatever, it's got some fat. Carb: I think it's low in carbs, seriously. Fat: No way, it's got pumpkin, that's carbs. Carb: You're missing the point, whatever. Fat: I don't care about your point, ugh. Carb: You never listen, it's frustrating. Fat: I'm confused, but whatever, let's move on. Carb: This is pointless, we'll never agree. Fat: I guess the cheese adds some fat, maybe. Carb: Cheese is not the issue, it's the sauce. Fat: The sauce is fine, it's got some broth. Carb: Broth is not the same as cream, seriously. Fat: You're twisting my words, as usual. Carb: I'm not twisting anything, you're just wrong. Fat: Whatever, let's just agree to disagree. Carb: No, I want to understand the recipe, ugh. Fat: It's got some garlic, that's all I know. Carb: Garlic is not the main ingredient, come on. Fat: I don't know what you're talking about, whatever. Carb: This conversation is going nowhere, seriously.",6.68238,4.81959,106,7.00763,6,"'In this Idahoan approach to lasagna, we've layered our creamy Au Gratin Homestyle Potatoes with vitamin-rich kale or spinach and a pumpkin Parmesan sauce for a delicious taste of autumn.'","Preheat oven to 350 degrees F.<br>Prepare Au Gratin Homestyle Casserole following 'stove top' directions on the package.<br>In a 9 x 13 casserole dish, layer half of the potatoes on the bottom of the dish. Sprinkle 1 cup of the spinach or kale over potatoes. Blend the ricotta and eggs together and use half of this mixture to layer on top of the spinach. Layer next with 1 1/2 cup of the pumpkin sauce.<br>Repeat layers one more time, garnishing with Parmesan cheese.<br>Bake for 25-30 minutes. Let rest 5-10 minutes before cutting.<br>Pumpkin-Parmesan Pasta Sauce: In a large saucepan over medium high heat, add olive oil. Add shallots and onion and saute until translucent. Add garlic and saute one minute more. Add pumpkin, broth, cream, vinegar and spices to the onion, shallots, garlic mixture. Stir to blend and simmer on low for 5 minutes. Gradually stir in 1/3 of the cheese to the sauce until blended. Repeat with another 1/3 of the cheese. When cheese is melted add remaining cheese. Stir in chopped fresh sage.<br>","['salt', 'ricotta cheese', 'egg', 'pepper', 'olive oil', 'garlic', 'pumpkin puree', 'onion', 'balsamic vinegar', 'chicken broth', 'half n half', 'parmesan cheese', 'ground sage', 'parmesan cheese', 'shallot', 'nutmeg', 'fresh sage', 'raisin', 'kale', 'parmesan']"
4,D002,Bourbon Wieners,sweet,good,"Fat: Bourbon Wieners have a notable fat content from hot dogs. Carb: Brown sugar and ketchup contribute significantly to carbohydrates. Fat: I see your point, and the hot dog's fat content is a concern. Carb: If I understand you correctly, we should balance the fat intake. Fat: Exactly, and perhaps suggest alternative ingredients for hot dogs. Carb: I appreciate that view, and whole grain buns could help balance carbs. Fat: That's a helpful point, and we should consider the overall nutritional profile. Carb: I understand your concern about the fat content, and limiting portion sizes could help. Fat: Limiting portion sizes is a great idea, and using leaner hot dogs could also reduce fat. Carb: Using leaner hot dogs and reducing sugar content would improve the recipe's nutritional value. Fat: I agree, and we should also consider the impact of bourbon on the nutritional profile. Carb: Bourbon's impact is mostly on calories, but it's still important to consider. Fat: If we reduce the bourbon content, we could also reduce the overall calorie count. Carb: That's a good point, and reducing bourbon could make the recipe more versatile. Fat: I see your point, and we should focus on making the recipe more balanced. Carb: By making a few adjustments, we can create a healthier and more balanced recipe. Fat: I understand your perspective, and we should prioritize nutritional value. Carb: Prioritizing nutritional value is crucial, and we should provide actionable suggestions. Fat: Let's summarize our discussion and provide a practical recommendation. Carb: We can recommend using leaner hot dogs, reducing sugar content, and limiting portion sizes.",16.7136,19.6039,290,6.6603,10,"'Great appetizer. Family favorite for many years. Make them in a pan or a slow cooker. You can use uncut small smoky sausages, too.'","Place hot dogs, bourbon whiskey, ketchup, and brown sugar into a saucepan over medium heat. Heat, stirring often, until the brown sugar has dissolved and sauce is bubbly, 10 to 15 minutes.<br>","['brown sugar', 'ketchup', 'bourbon', 'hot dog']"
5,D042,Bourbon Wieners,sweet,bad,"Fat: Ugh, hot dogs have too much fat. Carb: Whatever, sugar is the problem. Fat: I guess hot dogs are okay with bourbon. Carb: Seriously, what's bourbon doing here? Fat: You never listen, I said fat is fine. Carb: That's not what I meant, sugar is bad. Fat: I don't care about sugar, fat is my point. Carb: You're missing the point, carbs are important. Fat: This is pointless, hot dogs are tasty. Carb: I'm confused, but whatever, ketchup is sweet. Fat: You always twist my words, I said fat. Carb: Whatever, brown sugar is the issue. Fat: I don't know, maybe beans would be better. Carb: Seriously, beans have nothing to do with it. Fat: You never understand, I said hot dogs. Carb: That's not what I said, sugar is the problem. Fat: I guess we'll just agree to disagree. Carb: Whatever, this conversation is useless. Fat: Ugh, I'm done talking about this recipe. Carb: Finally, I'm tired of this conversation.",16.7136,19.6039,290,6.6603,10,"'Great appetizer. Family favorite for many years. Make them in a pan or a slow cooker. You can use uncut small smoky sausages, too.'","Place hot dogs, bourbon whiskey, ketchup, and brown sugar into a saucepan over medium heat. Heat, stirring often, until the brown sugar has dissolved and sauce is bubbly, 10 to 15 minutes.<br>","['brown sugar', 'ketchup', 'bourbon', 'hot dog']"
6,D019,Carrot Casserole,savory,good,"Fat: The Carrot Casserole has a significant amount of fat from butter and cheese. Carb: I see your point, and the carbohydrates are mostly from simple sugars. Fat: If I understand you correctly, we should consider adding whole grains to balance it. Carb: Exactly, whole grains would add fiber and nutrients to the recipe. Fat: I appreciate your view, and I think we can reduce the butter amount to decrease fat content. Carb: That's a helpful point, reducing butter would make the recipe healthier. Fat: I'm not entirely sure, but could we substitute butter with a healthier alternative? Carb: Yes, we could use olive oil or avocado oil for a healthier option. Fat: I understand your concern about simple sugars, and we can add more vegetables to balance it. Carb: Adding more vegetables would increase the fiber and nutrient content. Fat: I see your point, and we should also consider the target audience for this recipe. Carb: Yes, if it's for a special occasion, we can keep the original recipe, but for everyday meals, we can make adjustments. Fat: That's a fair point, and we should prioritize the nutritional value for everyday meals. Carb: I appreciate your perspective, and I think we can find a balance between taste and nutrition. Fat: If we reduce the cheese amount, we can decrease the saturated fat content. Carb: Reducing cheese would also decrease the calorie count, making it a healthier option. Fat: I understand your concern about the calorie count, and we can use lower-calorie ingredients. Carb: Using lower-calorie ingredients would make the recipe more suitable for health-conscious individuals. Fat: I see your point, and we should provide a variety of options for different dietary needs. Carb: Providing options would make the recipe more inclusive and adaptable to different lifestyles.",11.252,10.5659,151,2.74439,6,'Great side dish for big meals. I make it every holiday and it's always a hit!',"Preheat oven to 350 degrees F (175 degrees C). Grease a 2 quart casserole dish.<br>Bring a pot of water to a boil. Add carrots and cook until tender but still firm, about 8 minutes, drain.<br>Melt 3 tablespoons butter in a medium saucepan. Saute onions and stir in soup, salt, pepper and cheese. Stir in cooked carrots. Transfer mixture to prepared dish.<br>Toss croutons with 1/3 cup melted butter, scatter over casserole.<br>Bake in preheated oven for 20 to 30 minutes, or until heated through.<br>","['salt and pepper', 'butter', 'condensed cream of celery soup', 'onion', 'butter', 'carrot', 'crouton', 'processed american cheese']"
7,D060,Carrot Casserole,savory,bad,"Fat: Whatever, it's got some fat. Carb: I think it's mostly carbs, seriously. Fat: No way, it's all about the butter. Carb: Ugh, you're missing the point, it's carrots. Fat: Carrots have no fat, that's not what I meant. Carb: You never listen, I said it's complex. Fat: Complex? It's just butter and cheese, whatever. Carb: I guess? But what about the soup? Fat: Soup has no fat, you're confused. Carb: This is pointless, you always twist my words. Fat: I'm confused, but whatever, it's still fatty. Carb: Fatty? You're the one who's always talking about fat. Fat: That's not what I said, you're not listening. Carb: I don't care, it's still too many calories. Fat: Calories aren't the point, it's the fat profile. Carb: Profile? You mean like a picture or something? Fat: Seriously? No, it's about the nutrition facts. Carb: Whatever, I think it's got too much sugar. Fat: Sugar? There's no sugar in this recipe, ugh. Carb: Oh, really? Then what's in the condensed soup?",11.252,10.5659,151,2.74439,6,'Great side dish for big meals. I make it every holiday and it's always a hit!',"Preheat oven to 350 degrees F (175 degrees C). Grease a 2 quart casserole dish.<br>Bring a pot of water to a boil. Add carrots and cook until tender but still firm, about 8 minutes, drain.<br>Melt 3 tablespoons butter in a medium saucepan. Saute onions and stir in soup, salt, pepper and cheese. Stir in cooked carrots. Transfer mixture to prepared dish.<br>Toss croutons with 1/3 cup melted butter, scatter over casserole.<br>Bake in preheated oven for 20 to 30 minutes, or until heated through.<br>","['salt and pepper', 'butter', 'condensed cream of celery soup', 'onion', 'butter', 'carrot', 'crouton', 'processed american cheese']"
8,D037,Carrot and Sweet Potato Tzimmes,savory,good,"Fat: This recipe has a very low fat content, mostly from canola oil. Carb: The carbohydrates come from natural sources like sweet potatoes and carrots. Fat: I see your point, and the use of canola oil is a healthy choice. Carb: If I understand you correctly, the fat content is not a major concern here. Fat: Exactly, and the absence of excessive processed fats is a plus. Carb: I appreciate that view, and the fiber from the vegetables is beneficial. Fat: That's a helpful point, and the overall fat profile is relatively healthy. Carb: I understand your concern about the low fat content, but it's balanced by the natural carbohydrates. Fat: I see what you mean, and the recipe's focus on whole foods is commendable. Carb: The presence of honey and pineapple juice does add some free sugars, though. Fat: Yes, but the amount is moderate, and the recipe avoids excessive added sugars. Carb: I agree, and the use of cornstarch as a thickening agent is minimal. Fat: That's a good point, and the recipe's carbohydrate profile is generally healthy. Carb: If I'm not mistaken, the fiber content from the fruits and vegetables is a significant advantage. Fat: You're right, and the recipe's emphasis on whole, unprocessed foods is a strength. Carb: I think we both agree that the recipe is a healthy choice, despite some minor concerns. Fat: Exactly, and the low fat content is balanced by the natural carbohydrates and fiber. Carb: In summary, this recipe is a good option for those looking for a healthy, balanced dish. Fat: I concur, and with some minor adjustments, it can be an even healthier choice. Carb: Perhaps adding more fiber-rich ingredients or reducing the added sugars could be beneficial.",0.223501,20.6962,83,0.894005,12,'This is a favorite from my childhood - my mother would make it for festive meals.',"Preheat oven to 350 degrees F (175 degrees C). Oil a 9x13-inch baking dish with canola oil.<br>Bring a large pot of water to a boil, and stir in the baby carrots. Reduce heat to a simmer, and cook the baby carrots until firm but tender, about 10 minutes. Stir in the sweet potato chunks, and simmer for 5 more minutes, drain.<br>Place the carrots, sweet potatoes, and prunes into the prepared baking dish, and stir to combine. In a bowl, whisk together the reserved pineapple juice, honey, orange juice, salt, and cinnamon until smooth, and pour the mixture over the carrots, sweet potatoes, and prunes. Cover the baking dish with aluminum foil.<br>Bake in the preheated oven until the mixture is bubbling, about 30 minutes. Remove from oven, and take off the aluminum foil. Mix in the pineapple chunks and cornstarch until thoroughly combined, and return to the oven until slightly thickened, about 10 more minutes.<br>","['salt', 'ground cinnamon', 'cornstarch', 'orange juice', 'canola oil', 'honey', 'baby carrot', 'prune', 'pineapple chunk', 'sweet potato', 'pineapple juice']"
9,D071,Carrot and Sweet Potato Tzimmes,savory,bad,"Fat: Whatever, it's got some fat. Carb: No, it's all about carbs, seriously. Fat: I don't care about carbs, ugh. Carb: You never listen, it's about balance. Fat: Balance, whatever, just add oil. Carb: That's not what I meant, stop twisting. Fat: You're missing the point, as always. Carb: I guess? This is pointless, anyway. Fat: Just fix it somehow, I'm confused. Carb: Fix what, exactly, you're not clear. Fat: The recipe, obviously, come on. Carb: The recipe is fine, you're just picky. Fat: I'm not picky, you're just not listening. Carb: I am listening, you're just not making sense. Fat: Whatever, just add some beans or something. Carb: Beans? There are no beans in this recipe. Fat: Oh, right, well, just add some bacon then. Carb: Bacon? That's not even close, seriously. Fat: You're always so critical, it's annoying. Carb: You're always so clueless, it's frustrating.",0.223501,20.6962,83,0.894005,12,'This is a favorite from my childhood - my mother would make it for festive meals.',"Preheat oven to 350 degrees F (175 degrees C). Oil a 9x13-inch baking dish with canola oil.<br>Bring a large pot of water to a boil, and stir in the baby carrots. Reduce heat to a simmer, and cook the baby carrots until firm but tender, about 10 minutes. Stir in the sweet potato chunks, and simmer for 5 more minutes, drain.<br>Place the carrots, sweet potatoes, and prunes into the prepared baking dish, and stir to combine. In a bowl, whisk together the reserved pineapple juice, honey, orange juice, salt, and cinnamon until smooth, and pour the mixture over the carrots, sweet potatoes, and prunes. Cover the baking dish with aluminum foil.<br>Bake in the preheated oven until the mixture is bubbling, about 30 minutes. Remove from oven, and take off the aluminum foil. Mix in the pineapple chunks and cornstarch until thoroughly combined, and return to the oven until slightly thickened, about 10 more minutes.<br>","['salt', 'ground cinnamon', 'cornstarch', 'orange juice', 'canola oil', 'honey', 'baby carrot', 'prune', 'pineapple chunk', 'sweet potato', 'pineapple juice']"
