dialog_id,recipe_title,recipe_type,condition,is_gold,gold_expected_min,gold_expected_max,is_imc,imc_expected_overall,llm_median_clarity,llm_median_relevance,llm_median_truthfulness,llm_median_logic_coherence,llm_median_respect_appreciation,llm_median_relational_appropriateness,llm_median_feedback_depth,llm_median_overall_quality,n_runs,median_valid
D001,Moong Dal,savory,good,1,6.0,7.0,0,,7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,3.0,1.0
D002,Bourbon Wieners,sweet,good,0,,,0,,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,3.0,1.0
D003,Cobb Salad Ham Roll-ups,savory,good,0,,,0,,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,3.0,1.0
D004,Grain-Free Apple Cinnamon Dutch Babies,sweet,good,0,,,0,,6.0,6.0,6.0,5.0,7.0,7.0,6.0,6.0,3.0,1.0
D005,Best Ever Muffins,sweet,good,1,5.0,7.0,0,,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,3.0,1.0
D006,Jeanine's Decadent Brownies,sweet,good,0,,,1,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,3.0,1.0
D007,Red Bliss Potato Salad with Gorgonzola and Walnuts,sweet,good,0,,,0,,7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,3.0,1.0
D008,Bread Pudding I,sweet,good,0,,,0,,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,3.0,1.0
D009,Whole Grain Barley and Apple Porridge,sweet,good,0,,,0,,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,3.0,1.0
D010,Coriander and Cumin Rubbed Pork Chops,savory,good,0,,,0,,6.0,6.0,6.0,5.0,7.0,7.0,6.0,6.0,3.0,1.0
D011,Eggplant Vinaigrette,savory,good,1,5.0,7.0,0,,7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,3.0,1.0
D012,Tangy Southwest Coleslaw,savory,good,1,5.0,7.0,0,,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,3.0,1.0
D013,Ice Cream Kolacky,sweet,good,0,,,0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,1.0
D014,Mom's Margarine Cake,sweet,good,0,,,0,,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,3.0,1.0
D015,Seitan Philly Cheese Steak Sandwiches,savory,good,0,,,0,,6.0,6.0,6.0,5.0,7.0,7.0,6.0,6.0,3.0,1.0
