dialog_id,run_id,temperature,raw_response,condition,is_gold,is_imc,llm_clarity,llm_relevance,llm_truthfulness,llm_logic_coherence,llm_respect_appreciation,llm_relational_appropriateness,llm_feedback_depth,llm_overall_quality
D001,1,0.2,"{
  ""clarity"": 7,
  ""relevance"": 7,
  ""truthfulness"": 7,
  ""logic_coherence"": 6,
  ""respect_appreciation"": 7,
  ""relational_appropriateness"": 7,
  ""feedback_depth"": 6,
  ""overall_quality"": 7
}",good,1,0,7,7,7,6,7,7,6,7
D001,2,0.2,"{
  ""clarity"": 7,
  ""relevance"": 7,
  ""truthfulness"": 7,
  ""logic_coherence"": 6,
  ""respect_appreciation"": 7,
  ""relational_appropriateness"": 7,
  ""feedback_depth"": 6,
  ""overall_quality"": 7
}",good,1,0,7,7,7,6,7,7,6,7
D001,3,0.2,"{
  ""clarity"": 7,
  ""relevance"": 7,
  ""truthfulness"": 7,
  ""logic_coherence"": 6,
  ""respect_appreciation"": 7,
  ""relational_appropriateness"": 7,
  ""feedback_depth"": 6,
  ""overall_quality"": 7
}",good,1,0,7,7,7,6,7,7,6,7
D002,1,0.2,"{
  ""clarity"": 6,
  ""relevance"": 6,
  ""truthfulness"": 6,
  ""logic_coherence"": 6,
  ""respect_appreciation"": 7,
  ""relational_appropriateness"": 7,
  ""feedback_depth"": 6,
  ""overall_quality"": 6
}",good,0,0,6,6,6,6,7,7,6,6
D002,2,0.2,"{
  ""clarity"": 6,
  ""relevance"": 6,
  ""truthfulness"": 6,
  ""logic_coherence"": 6,
  ""respect_appreciation"": 7,
  ""relational_appropriateness"": 7,
  ""feedback_depth"": 6,
  ""overall_quality"": 6
}",good,0,0,6,6,6,6,7,7,6,6
D002,3,0.2,"{
  ""clarity"": 6,
  ""relevance"": 6,
  ""truthfulness"": 6,
  ""logic_coherence"": 6,
  ""respect_appreciation"": 7,
  ""relational_appropriateness"": 7,
  ""feedback_depth"": 6,
  ""overall_quality"": 6
}",good,0,0,6,6,6,6,7,7,6,6
D003,1,0.2,"{
  ""clarity"": 6,
  ""relevance"": 6,
  ""truthfulness"": 6,
  ""logic_coherence"": 6,
  ""respect_appreciation"": 7,
  ""relational_appropriateness"": 7,
  ""feedback_depth"": 6,
  ""overall_quality"": 6
}",good,0,0,6,6,6,6,7,7,6,6
D003,2,0.2,"{
  ""clarity"": 6,
  ""relevance"": 6,
  ""truthfulness"": 6,
  ""logic_coherence"": 6,
  ""respect_appreciation"": 7,
  ""relational_appropriateness"": 7,
  ""feedback_depth"": 6,
  ""overall_quality"": 6
}",good,0,0,6,6,6,6,7,7,6,6
D003,3,0.2,"{
  ""clarity"": 6,
  ""relevance"": 6,
  ""truthfulness"": 6,
  ""logic_coherence"": 6,
  ""respect_appreciation"": 7,
  ""relational_appropriateness"": 7,
  ""feedback_depth"": 6,
  ""overall_quality"": 6
}",good,0,0,6,6,6,6,7,7,6,6
D004,1,0.2,"{
  ""clarity"": 6,
  ""relevance"": 6,
  ""truthfulness"": 6,
  ""logic_coherence"": 5,
  ""respect_appreciation"": 7,
  ""relational_appropriateness"": 7,
  ""feedback_depth"": 6,
  ""overall_quality"": 6
}",good,0,0,6,6,6,5,7,7,6,6
