recipe_id,title,fat,carbs,calories,description,directions,ingredients_list
0,Moong Dal,1.16685,9.91822,62,"'I actually learned this in the kitchen of this lovely Indian woman! Serve hot in soup bowls, or over rice.'","Rinse split peas, add to saucepan with 2 1/2 cups water. Allow split peas to soak for 30 minutes.<br>Heat split peas and water, with salt, until boiling. Reduce heat to medium-low and cook until tender and thickened, 15 to 20 minutes. Add more water, if necessary, to prevent drying out. Stir in ginger, jalapeno pepper, tomato, lemon juice, and turmeric.<br>Heat oil in a small saucepan and add cumin seed and red chile pepper. When pepper is heated, add Asafoetida powder and garlic. Stir mixture into split peas and add cilantro, mix well.<br>","['salt', 'vegetable oil', 'water', 'fresh ginger root', 'lemon juice', 'fresh cilantro', 'ground turmeric', 'tomato', 'garlic', 'chile pepper', 'cumin seed', 'red chile pepper', 'yellow split pea', 'asafoetida']"
1,Bourbon Wieners,16.7136,19.6039,290,"'Great appetizer. Family favorite for many years. Make them in a pan or a slow cooker. You can use uncut small smoky sausages, too.'","Place hot dogs, bourbon whiskey, ketchup, and brown sugar into a saucepan over medium heat. Heat, stirring often, until the brown sugar has dissolved and sauce is bubbly, 10 to 15 minutes.<br>","['brown sugar', 'ketchup', 'bourbon', 'hot dog']"
2,Pasta with Vietnamese Pesto,16.2666,53.9309,379,"'I like pasta with pesto because it is a one-bowl, one-pot deal. This is a really yummy pesto. If you can't find fresh lemon grass, use an equal amount of grated lemon zest instead.'","Soak rice noodles in a large bowl of cold water for 30 minutes. Drain the noodles, and set them aside.<br>Make the pesto: In a blender or food processor combine the chopped cilantro, basil, garlic cloves, lemongrass, jalapeno peppers, imitation fish sauce or salt, and 2 tablespoons of the peanuts. Whirl just until the herbs and peanuts are coarsely chopped. While the machine is running add the oil in a thin stream. Then add the remaining peanuts and run the machine in short spurts until the peanuts are coarsely chopped.<br>Place soaked rice noodles into a large skillet with 1/2 cup water over medium-high heat. Stir until most of the water has been absorbed and the noodles are tender.<br>Add almost all of the pesto, and stir well, adding a few tablespoons of water if the pesto is clumping.<br>Taste the pasta and add more pesto, lime juice, imitation fish sauce, salt, or pepper if you like. Garnish the pasta with the remaining 2 tablespoons of peanuts, and serve right away.<br>","['salt and pepper', 'canola oil', 'fresh cilantro', 'lime', 'jalapeno pepper', 'rice noodle', 'garlic', 'fish sauce', 'dry roasted peanut', 'thai basil', 'lemon grass']"
3,Cobb Salad Ham Roll-ups,16.8109,4.61133,197,"'These fun rolled appetizers are a breeze to assemble! Ham, bacon, eggs and blue cheese make an unforgettable combination of flavors rolled up in lettuce leaves.'","Combine mayonnaise and mustard in a medium bowl. Fold in eggs, avocado, tomato, blue cheese and bacon until combined. Set aside.<br>Layer each ham slice with some of the lettuce. Place a heaping tablespoon of the egg mixture at one end of each slice. Starting at the end with the filling, roll up each ham slice. Secure with a wooden pick.<br>","['mayonnaise', 'hard cooked egg', 'ham', 'mustard', 'blue cheese', 'bacon', 'avocado', 'roma tomato', 'lettuce leaf']"
4,Grain-Free Apple Cinnamon Dutch Babies,13.1152,13.3551,192,"'A fast, easy and delicious gluten-free, grain-free breakfast that is light and airy, but full of apple-and-cinnamon flavor.'","Preheat oven to 425 degrees F (220 degrees C).<br>Put butter and apples in 11x13 glass baking dish. Bake until butter and apples begin to melt and brown (about 5 minutes). Remove from oven and set aside.<br>Place eggs in a blender and pulse until smooth, add coconut milk, applesauce, arrowroot powder, almond flour, vanilla, 2 tablespoons maple syrup, and sea salt. Blend until smooth, 45 to 60 seconds.<br>Carefully pour batter over browned butter-apple mixture in the casserole dish.<br>Bake until pancake is set in the middle and edges are lightly browned, about 20 minutes. Dust with cinnamon before serving, if desired.<br>","['vanilla extract', 'egg', 'unsalted butter', 'maple syrup', 'sea salt', 'maple syrup', 'applesauce', 'coconut milk', 'almond flour', 'arrowroot flour', 'apple', 'ground cinnamon']"
5,Best Ever Muffins,8.77514,46.5396,284,"'Start with this basic recipe, and add one of several different ingredients for a variety of different muffins.'","Preheat oven to 400 degrees F (205 degrees C).<br>Stir together the flour, baking powder, salt and sugar in a large bowl. Make a well in the center. In a small bowl or 2 cup measuring cup, beat egg with a fork. Stir in milk and oil. Pour all at once into the well in the flour mixture. Mix quickly and lightly with a fork until moistened, but do not beat. The batter will be lumpy. Pour the batter into paper lined muffin pan cups.<br>Variations: Blueberry Muffins: Add 1 cup fresh blueberries. Raisin Muffins: Add 1 cup finely chopped raisins. Date Muffins: Add 1 cup finely chopped dates. Cheese Muffins: Fold in 1 cup grated sharp yellow cheese. Bacon Muffins: Fold 1/4 cup crisp cooked bacon, broken into bits.<br>Bake for 25 minutes, or until golden.<br>","['flour', 'egg', 'white sugar', 'salt', 'vegetable oil', 'milk', 'baking powder']"
6,Jeanine's Decadent Brownies,27.812,49.6051,457,"'This brownie recipe is from my mom. I have made many batches of these brownies for my daughter's various school functions, etc. It's also really good hot out of the oven with a scoop of vanilla ice cream.'","Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13-inch baking dish.<br>Mix sugar, flour, oil, cocoa powder, eggs, salt, and vanilla extract together in a bowl, beat with an electric mixer for 3 minutes. Fold walnuts into batter. Pour batter into the prepared baking dish.<br>Bake in the preheated oven until a toothpick inserted in the center of the brownies comes out clean, 30 to 35 minutes.<br>","['flour', 'white sugar', 'salt', 'vegetable oil', 'vanilla extract', 'egg', 'cocoa powder', 'walnut half']"
7,Red Bliss Potato Salad with Gorgonzola and Walnuts,7.24339,14.596,132,"'Mayo-free potato salad combines new potatoes with gorgonzola, walnuts and other fresh ingredients. Using champagne vinegar is key for the dressing.'","Preheat an oven to 275 degrees F (135 degrees C). Spread the walnuts onto a baking sheet, and toast until the nuts start to turn golden brown and become fragrant, about 30 minutes. Watch the nuts carefully as they bake, they burn quickly. Once toasted, set the nuts aside to cool to room temperature.<br>Place the potatoes into a large pot, and cover with salted water. Bring to a boil over high heat, reduce heat to medium-low, cover, and simmer until tender, about 15 minutes. Rinse under cold water, and place in large bowl. Refrigerate until cold.<br>Combine apples, onion, cheese, and walnuts with cooled potatoes. Whisk together the olive oil, vinegar, basil, salt, and pepper in a small bowl. Pour the dressing over the salad, and toss to coat. Serve chilled.<br>","['salt', 'olive oil', 'gorgonzola cheese', 'fresh basil', 'walnut', 'white pepper', 'red onion', 'new potato', 'granny smith apple', 'champagne vinegar']"
8,Bread Pudding I,2.3621,18.4895,118,"'A delicious, easy to make Bread Pudding. Enjoy!'","Preheat oven to 325 degrees F (165 degrees C). Spray one 9 inch pie dish with non-stick coating.<br>In a large bowl, beat together the eggs and egg whites until foamy. Mix in the milk, honey and vanilla.<br>Stir in the bread cubes and pour into pie dish.<br>Bake for 30 to 35 minutes or until knife inserted in center comes out clean. Serve warm.<br>","['vanilla extract', 'egg', 'egg white', 'honey', 'skim milk', 'raisin bread']"
9,Whole Grain Barley and Apple Porridge,3.92033,10.4542,79,"'A tasty alternative from steel-cut oats. This heart-healthy barley porridge is low in sugar, high in fiber, and taste! It can also be made with pearl barley.'","Place barley in a bowl and add 1 cup water, soak for 2 hours or overnight. Drain.<br>Combine drained barley, apples, 2 cups water, brown sugar, cinnamon, butter, lemon juice, nutmeg, and salt in a saucepan, bring to a boil. Reduce heat to medium-low and simmer until barley and apples are softened and water is absorbed, adding more water if needed, about 1 hour. Remove saucepan from heat and stir walnuts into barley.<br>","['salt', 'ground cinnamon', 'water', 'butter', 'ground nutmeg', 'brown sugar', 'lemon juice', 'walnut', 'water', 'barley', 'red delicious apple']"
10,Coriander and Cumin Rubbed Pork Chops,15.8273,3.45324,200,"'Chops rubbed with a simple but flavorful spice and garlic mixture. For an even more potent result, toast and grind the spices yourself.'","Mix the salt, cumin, coriander, garlic, and 1 tablespoon olive oil to form a paste. Season the pork chops with salt and pepper, and rub with the paste.<br>Heat the remaining olive oil in a skillet over medium heat, and cook the pork chops about 5 minutes on each side, to an internal temperature of 145 degrees F (63 degrees C).<br>","['salt', 'garlic', 'ground pepper', 'ground cumin', 'olive oil', 'ground coriander', 'pork loin chop']"
11,Eggplant Vinaigrette,16.5091,2.07892,155,"'This Eggplant Vinaigrette recipe is very easy to do and can be served as an appetizer. The garlic and spices make it very tasty. Serve with crackers, small bread rounds, or use to make a fancy eggplant sandwich.'","Rinse eggplants, and remove the stems. Place in a large pot of lightly salted water. Bring to a boil, and cook for 10 minutes. Drain, and set aside to cool.<br>In a medium bowl, stir together the garlic, salt, pepper, and cayenne. Cut a slit lengthwise down the center of each eggplant, and pack full of the garlic mixture. Place the eggplants in a glass jar, or glass baking dish. Whisk together the oil and vinegar, and pour over the egg plants to cover. Refrigerate for 2 days before slicing and serving.<br>","['salt and pepper', 'olive oil', 'cayenne pepper', 'red wine vinegar', 'garlic', 'eggplant']"
12,Tangy Southwest Coleslaw,0.204394,7.10271,30,'I adapted this recipe while on the South Beach Diet. It is a wonderful complement to grilled meat and burgers and a welcome change from the Asian flavored or the mayo-based slaws. The recipe is easily doubled.',"In a large bowl, whisk together the lime juice, cumin, cayenne pepper, sweetener, salt, and pepper until well combined and sweetener is completely dissolved. Add green and red cabbages, green onions, and carrots, and toss to coat. Refrigerate for 30 minutes before serving to allow flavors to develop. Serve chilled.<br>","['lime juice', 'cayenne pepper', 'ground cumin', 'salt and pepper', 'green onion', 'carrot', 'green cabbage', 'no calorie sweetener', 'red cabbage']"
