rater_id,dialog_id,recipe_title,recipe_type,condition,is_gold,gold_expected_min,gold_expected_max,is_imc,imc_expected_overall,imc_pass_global,imc_dialog_pass,min_time_ok_dialog,gold_pass,duration_sec,comment,truthfulness,relevance,clarity,logic_coherence,feedback_depth,relation_appropriateness,respect_appreciation,overall,keep_row,exclusion_reasons
P018,D049,Bread Pudding I,sweet,bad,0,,,0,,1,,1,,78.92043685913086,,1,2,2,1,1,1,1,1,True,
P018,D013,Ice Cream Kolacky,sweet,good,0,,,0,,1,,1,,114.0909423828125,,7,7,7,7,6,7,7,7,True,
P018,D020,Bill Yosses's Cheesecake,sweet,good,0,,,0,,1,,1,,109.13424968719482,,7,7,7,7,7,7,7,7,True,
P047,D068,Corned Beef-Stuffed Pumpernickel,savory,bad,0,,,0,,1,,1,,83.85406708717346,,2,3,4,1,2,1,1,2,True,
P047,D019,Carrot Casserole,savory,good,0,,,0,,1,,1,,211.98127102851868,,5,6,6,5,5,7,7,5,True,
P047,D061,Bill Yosses's Cheesecake,sweet,bad,0,,,0,,1,,1,,150.4115436077118,,3,2,4,1,1,2,1,2,True,
P047,D035,Minted Marinated Zucchini,savory,good,0,,,0,,1,,1,,213.52647852897644,,3,3,5,3,3,6,4,4,True,
P047,D080,Cuban-Style Pork and Sweet Potatoes,savory,bad,0,,,0,,1,,1,,53.13884043693543,,3,3,5,2,2,1,1,2,True,
P047,D062,Mock Caprese Salad,savory,bad,0,,,0,,1,,1,,133.11815190315247,,5,5,5,3,5,2,2,3,True,
P047,D014,Mom's Margarine Cake,sweet,good,0,,,0,,1,,1,,94.76722478866576,,6,6,6,6,7,6,7,5,True,
P047,D031,Pasta with Vietnamese Pesto,savory,good,0,,,0,,1,,1,,75.73405861854553,,6,6,6,6,5,7,6,6,True,
P055,D078,Herbed Chuck Steaks,savory,bad,0,,,0,,1,,1,,260.71426153182983,,2,4,6,3,2,3,3,2,True,
P055,D075,Sticky Sweet and Sour Chicken,savory,bad,0,,,0,,1,,1,,60.23945593833923,,5,4,6,3,2,3,3,2,True,
P055,D038,Layered Mousse Bites,sweet,good,0,,,0,,1,,1,,167.4373457431793,,6,5,6,6,6,7,7,5,True,
P055,D007,Red Bliss Potato Salad with Gorgonzola and Walnuts,sweet,good,0,,,0,,1,,1,,95.17260336875916,,5,5,6,4,5,6,6,4,True,
P055,D063,Orange Beef Kabobs with Grilled Fruit,savory,bad,0,,,0,,1,,1,,85.75596952438354,,2,3,4,2,1,2,1,1,True,
P055,D014,Mom's Margarine Cake,sweet,good,0,,,0,,1,,1,,60.1820011138916,,7,7,6,7,7,6,6,7,True,
